Source,Target,Type,Weight
AumaWl0TNBo,jjbcWoPXyas,Undirected,2
AumaWl0TNBo,15aTCG3as6Q,Undirected,1
AumaWl0TNBo,aJ9XruZm_Hg,Undirected,1
AumaWl0TNBo,hNsd-m30m2E,Undirected,1
AumaWl0TNBo,3yt4JsB9psg,Undirected,1
AumaWl0TNBo,60Qi7Zv6Wbg,Undirected,1
AumaWl0TNBo,7HJw7_fmwjY,Undirected,1
AumaWl0TNBo,dyBFAX4SDEc,Undirected,1
AumaWl0TNBo,ceJcHUoO734,Undirected,1
AumaWl0TNBo,r8FQ5wUYm9c,Undirected,1
AumaWl0TNBo,m1sdAmSq4vs,Undirected,1
AumaWl0TNBo,2TQAP-uAN9I,Undirected,1
AumaWl0TNBo,oqvGFqR2h4w,Undirected,1
AumaWl0TNBo,6HZ-nfMfu8o,Undirected,1
AumaWl0TNBo,ZAO9WjsFcaI,Undirected,1
AumaWl0TNBo,rTKaXaPIfG8,Undirected,4
AumaWl0TNBo,Wl9NFbqbwEw,Undirected,3
AumaWl0TNBo,Eeb2CgoSt9M,Undirected,1
AumaWl0TNBo,YBT_rfVxY5A,Undirected,4
AumaWl0TNBo,Cd8UxUlqaZ8,Undirected,1
AumaWl0TNBo,Swtha2lg-xI,Undirected,2
AumaWl0TNBo,C4ZN-2MrgBA,Undirected,1
AumaWl0TNBo,E7Er4t8PIYw,Undirected,1
AumaWl0TNBo,khPLWaBioOs,Undirected,2
AumaWl0TNBo,FofCwLXknq8,Undirected,1
AumaWl0TNBo,i0biqMZrxJ0,Undirected,1
AumaWl0TNBo,NUjLi_tm-aM,Undirected,1
AumaWl0TNBo,aP0izmLk-Q8,Undirected,2
AumaWl0TNBo,_YCGFLhrMkk,Undirected,1
AumaWl0TNBo,maAa7J3iEM8,Undirected,1
AumaWl0TNBo,g2GbkH12xMg,Undirected,1
AumaWl0TNBo,WY_l86QcMmA,Undirected,1
AumaWl0TNBo,0VsgQmCPgoI,Undirected,3
AumaWl0TNBo,TZSVf-yD7N8,Undirected,1
AumaWl0TNBo,dGaX8AuGiuk,Undirected,1
AumaWl0TNBo,INHVfx05Sy8,Undirected,1
AumaWl0TNBo,r9C7Grxk4bU,Undirected,1
AumaWl0TNBo,TPQqpxfm6BI,Undirected,1
AumaWl0TNBo,JBw1nwYJESc,Undirected,1
AumaWl0TNBo,bJ-wMCV05EI,Undirected,1
AumaWl0TNBo,d1hs-JI_yBE,Undirected,1
AumaWl0TNBo,p9RLCdyn_40,Undirected,8
AumaWl0TNBo,ifkRhaEDzzo,Undirected,21
AumaWl0TNBo,mdY3XDGtVnk,Undirected,1
AumaWl0TNBo,Kx90AspFmEA,Undirected,1
AumaWl0TNBo,jyTqvjvj8sM,Undirected,2
AumaWl0TNBo,ibI5-k5sin8,Undirected,1
AumaWl0TNBo,3mUtNE82ZV4,Undirected,1
AumaWl0TNBo,GRkHQ3RCW34,Undirected,1
AumaWl0TNBo,XJiCE88hOmM,Undirected,1
AumaWl0TNBo,NJAtY43vsl8,Undirected,1
AumaWl0TNBo,7Khl8D9RVvw,Undirected,2
AumaWl0TNBo,vbiiik_T3Bo,Undirected,1
AumaWl0TNBo,nranUeNkXpM,Undirected,1
AumaWl0TNBo,aeMv9uKpAZg,Undirected,1
AumaWl0TNBo,HHauPi8CS4k,Undirected,1
AumaWl0TNBo,ao7JzzfIqVE,Undirected,1
AumaWl0TNBo,alRtHXnZMOI,Undirected,2
AumaWl0TNBo,ebzooSdAbGE,Undirected,1
AumaWl0TNBo,T0_M3t3UVao,Undirected,2
AumaWl0TNBo,INRXOIgmNUU,Undirected,1
