Source,Target,Type
AumaWl0TNBo,T_AyI8I4O3U,Undirected
AumaWl0TNBo,cWy8jWXhdnA,Undirected
AumaWl0TNBo,_f_LqAXzol0,Undirected
AumaWl0TNBo,saZizkBOOJI,Undirected
AumaWl0TNBo,Kpxn9nl02qg,Undirected
AumaWl0TNBo,D3V0aw-ljEg,Undirected
AumaWl0TNBo,3QohbrF0GIg,Undirected
AumaWl0TNBo,Lj6Y6JCu-l4,Undirected
AumaWl0TNBo,FvBcYkY7ZGo,Undirected
AumaWl0TNBo,lpkRFHSpvGI,Undirected
AumaWl0TNBo,j6Z573n6-xU,Undirected
AumaWl0TNBo,jxFwvwYPPcs,Undirected
AumaWl0TNBo,1m7WNpBbjKM,Undirected
AumaWl0TNBo,8b6IQQMRYCA,Undirected
AumaWl0TNBo,FIFLT8iTyJk,Undirected
AumaWl0TNBo,IJuZSD8GGZo,Undirected
AumaWl0TNBo,gImQUUb8cU4,Undirected
AumaWl0TNBo,rR-wWKCe92o,Undirected
AumaWl0TNBo,PUqi2P0ry6Y,Undirected
AumaWl0TNBo,xPsEiZAOb_I,Undirected
AumaWl0TNBo,q57eQqq9-IA,Undirected
AumaWl0TNBo,XY8QQmFswmA,Undirected
AumaWl0TNBo,9StYOIBLanM,Undirected
AumaWl0TNBo,nIPt7dJrSXw,Undirected
AumaWl0TNBo,kKk6vEqFFOA,Undirected
AumaWl0TNBo,kb1qAO9KB3k,Undirected
AumaWl0TNBo,Zy6nbhUW_5E,Undirected
AumaWl0TNBo,PpElRBQ-yGc,Undirected
AumaWl0TNBo,YWVylysTNIA,Undirected
AumaWl0TNBo,6ZwXRnueOMg,Undirected
AumaWl0TNBo,d3h_uD-5d7A,Undirected
AumaWl0TNBo,yHHnywiSwIE,Undirected
AumaWl0TNBo,v0TiqC_C8wI,Undirected
AumaWl0TNBo,uexk7jWXYmU,Undirected
AumaWl0TNBo,_5d-sQ7Fh5M,Undirected
AumaWl0TNBo,_Oht6ZNXx7I,Undirected
AumaWl0TNBo,OtL1fEEtLaA,Undirected
AumaWl0TNBo,v0RrsWK4GlY,Undirected
AumaWl0TNBo,VXvu5rtJNd4,Undirected
AumaWl0TNBo,FTldNZ7V8ls,Undirected
AumaWl0TNBo,EZOZ-XD5wmg,Undirected
AumaWl0TNBo,KzNK1-mH2Xw,Undirected
AumaWl0TNBo,HuJkBDBloa0,Undirected
AumaWl0TNBo,EVNYfoFcrZY,Undirected
AumaWl0TNBo,ceyU5UBumLU,Undirected
AumaWl0TNBo,x8DegXNFOns,Undirected
AumaWl0TNBo,AtCLwYFRp4o,Undirected
AumaWl0TNBo,S3VZxB_iNoA,Undirected
AumaWl0TNBo,WAwRrtH-4Lg,Undirected
AumaWl0TNBo,w9JQf4Lw46g,Undirected
AumaWl0TNBo,FJ_TFXjr__4,Undirected
AumaWl0TNBo,XIZmIl9SsXk,Undirected
AumaWl0TNBo,BVRvrvCQdmg,Undirected
AumaWl0TNBo,akNs04ef_Co,Undirected
AumaWl0TNBo,bNF9VJgfPS4,Undirected
AumaWl0TNBo,hTFdtso911s,Undirected
AumaWl0TNBo,Lok2EvthO-U,Undirected
AumaWl0TNBo,WTyNJOXycQk,Undirected
AumaWl0TNBo,Z0vLiQLpsc8,Undirected
AumaWl0TNBo,colIbxVLUrA,Undirected
AumaWl0TNBo,bkI4AZn_saY,Undirected
AumaWl0TNBo,xe6o4ex7-YA,Undirected
AumaWl0TNBo,AVoe5SH_K8k,Undirected
AumaWl0TNBo,aydY1eiGjgs,Undirected
AumaWl0TNBo,XZ-IYxacK3I,Undirected
AumaWl0TNBo,EcFJbKJxjDA,Undirected
AumaWl0TNBo,qT6KNyLEV24,Undirected
AumaWl0TNBo,yabSoxBzo4A,Undirected
AumaWl0TNBo,9lH5NgUnPUs,Undirected
AumaWl0TNBo,7-T08gSQmxk,Undirected
AumaWl0TNBo,9S1Gc1nSXd4,Undirected
AumaWl0TNBo,_DiGQRaaHvg,Undirected
AumaWl0TNBo,Mjl4OReUX-c,Undirected
AumaWl0TNBo,1R0Xgq1bxZI,Undirected
AumaWl0TNBo,QLUXGKtRaEs,Undirected
AumaWl0TNBo,7FM_MfpYOLU,Undirected
AumaWl0TNBo,TX0UsGn0GPc,Undirected
AumaWl0TNBo,hFFn8K2O4po,Undirected
AumaWl0TNBo,mcsTWPSMDtg,Undirected
AumaWl0TNBo,rplCCSqWXIY,Undirected
AumaWl0TNBo,o4fHlldbRHo,Undirected
AumaWl0TNBo,zMV51hydg8E,Undirected
AumaWl0TNBo,tJFk9dPdxO0,Undirected
AumaWl0TNBo,QS8bma7LRX4,Undirected
AumaWl0TNBo,ev2RHDUkE4M,Undirected
AumaWl0TNBo,xIZPbhq37WQ,Undirected
AumaWl0TNBo,oaU82_uGTQg,Undirected
AumaWl0TNBo,p5N6tFob_Rw,Undirected
AumaWl0TNBo,CWAX-tiepMo,Undirected
AumaWl0TNBo,GWMKelv5Bmw,Undirected
-N5eucPMTTc,sLJdBmAeB_U,Undirected
-N5eucPMTTc,FmYMq9EHhdE,Undirected
-N5eucPMTTc,tSjvx_c4meE,Undirected
-N5eucPMTTc,IVRVXYCrr14,Undirected
-N5eucPMTTc,uT3wso5Zp7k,Undirected
-N5eucPMTTc,7DLKv39MLbg,Undirected
-N5eucPMTTc,tpyQLIpv4Yk,Undirected
-N5eucPMTTc,twjTkBN3Q9A,Undirected
-N5eucPMTTc,ZDMgHk2DjoQ,Undirected
-N5eucPMTTc,XymR5UCxSfA,Undirected
-N5eucPMTTc,acIRvVxB4go,Undirected
-N5eucPMTTc,hX643KbiI4s,Undirected
-N5eucPMTTc,kROW5iooUKE,Undirected
-N5eucPMTTc,xxWXD073Ql0,Undirected
-N5eucPMTTc,MjdpR-TY6QU,Undirected
-N5eucPMTTc,kRDb2X3gFmo,Undirected
-N5eucPMTTc,ROzC9ZySGos,Undirected
-N5eucPMTTc,28_tNFnMrTk,Undirected
-N5eucPMTTc,n1rblnOWhmM,Undirected
-N5eucPMTTc,3iXwXYflCSI,Undirected
-N5eucPMTTc,6epjkX1sr2M,Undirected
